,0,1,2,3,4,5,6,7,8,9,total,vol,differ
0,0,0,0,0,-1,0,1,1,1,-1,181,56,30.94
1,0,0,0,0,-1,0,1,1,1,0,181,56,30.94
2,0,0,0,0,-1,-1,1,1,1,-1,181,56,30.94
3,0,0,0,0,-1,-1,1,1,1,0,181,56,30.94
4,0,0,-1,0,-1,0,1,1,1,0,155,47,30.32
5,0,0,-1,0,-1,0,1,1,1,-1,155,47,30.32
6,0,0,-1,0,-1,-1,1,1,1,0,155,47,30.32
7,0,0,-1,0,-1,-1,1,1,1,-1,155,47,30.32
8,0,0,0,0,-1,-1,0,1,1,-1,261,79,30.27
9,0,0,0,0,-1,-1,0,1,1,0,261,79,30.27
10,0,0,0,0,-1,0,0,1,1,0,261,79,30.27
11,0,0,0,0,-1,0,0,1,1,-1,261,79,30.27
12,0,-1,0,0,-1,-1,1,1,1,-1,152,46,30.26
13,0,-1,0,0,-1,-1,1,1,1,0,152,46,30.26
14,0,-1,-1,0,-1,-1,1,1,1,-1,152,46,30.26
15,0,-1,0,0,-1,0,1,1,1,-1,152,46,30.26
16,0,-1,-1,0,-1,-1,1,1,1,0,152,46,30.26
17,0,-1,0,0,-1,0,1,1,1,0,152,46,30.26
18,0,-1,-1,0,-1,0,1,1,1,-1,152,46,30.26
19,0,-1,-1,0,-1,0,1,1,1,0,152,46,30.26
20,-1,0,0,0,-1,-1,1,1,1,0,176,53,30.11
21,-1,0,0,0,-1,0,1,1,1,-1,176,53,30.11
22,-1,0,0,0,-1,0,1,1,1,0,176,53,30.11
23,-1,0,0,0,-1,-1,1,1,1,-1,176,53,30.11
24,-1,0,0,0,-1,-1,0,1,1,-1,254,76,29.92
25,-1,0,0,0,-1,-1,0,1,1,0,254,76,29.92
26,-1,0,0,0,-1,0,0,1,1,-1,254,76,29.92
27,-1,0,0,0,-1,0,0,1,1,0,254,76,29.92
28,-1,0,-1,0,0,0,0,1,1,-1,238,71,29.83
29,-1,0,-1,0,0,0,0,1,1,0,238,71,29.83
30,-1,0,-1,0,0,-1,0,1,1,0,238,71,29.83
31,-1,0,-1,0,0,-1,0,1,1,-1,238,71,29.83
32,-1,0,-1,0,-1,-1,1,1,1,0,151,45,29.8
33,-1,0,-1,0,-1,-1,1,1,1,-1,151,45,29.8
34,-1,0,-1,0,-1,0,1,1,1,0,151,45,29.8
35,-1,0,-1,0,-1,0,1,1,1,-1,151,45,29.8
36,-1,0,-1,-1,0,0,0,1,1,0,222,66,29.73
37,-1,0,-1,-1,0,0,0,1,1,-1,222,66,29.73
38,-1,-1,0,-1,0,0,0,1,1,-1,222,66,29.73
39,-1,-1,-1,-1,0,0,0,1,1,0,222,66,29.73
